"인구, 가구 및 주택 - 읍면동"

"C행정구역별(읍면동)","행정구역별(읍면동)","시점","총인구 (명)","남자 (명)","여자 (명)","내국인-계 (명)","내국인-남자 (명)","내국인-여자 (명)","외국인-계 (명)","외국인-남자 (명)","외국인-여자 (명)","가구-계 (가구)","일반가구 (가구)","집단가구 (가구)","외국인가구 (가구)","주택-계 (호)","단독주택 (호)","아파트 (호)","연립주택 (호)","다세대주택 (호)","비거주용 건물내 주택 (호)","주택이외의 거처 (호)"
'00,"전국",2010,48580293,24167098,24413195,47990761,23840896,24149865,589532,326202,263330,17574067,17339422,20727,213918,14677419,4089491,8576013,536070,1314452,161393,303097
'03,"동부",2010,39822647,19798739,20023908,39363373,19558869,19804504,459274,239870,219404,14224508,14031069,12420,181019,11262799,2006683,7487900,425615,1226377,116224,270518
'04,"읍부",2010,4200082,2117515,2082567,4149215,2086063,2063152,50867,31452,19415,1504690,1487490,2631,14569,1460243,544997,765456,73145,57696,18949,9816
'05,"면부",2010,4557564,2250844,2306720,4478173,2195964,2282209,79391,54880,24511,1844869,1820863,5676,18330,1954377,1537811,322657,37310,30379,26220,22763
'11,"서울특별시",2010,9794304,4803373,4990931,9631482,4726028,4905454,162822,77345,85477,3577497,3504297,2836,70364,2525210,405575,1485869,145914,463417,24435,97389
'11010," 종로구",2010,155575,76408,79167,151069,74331,76738,4506,2077,2429,60008,57807,152,2049,41350,14429,11067,5504,9621,729,2998
'1101053,"  사직동",2010,8961,4182,4779,8695,4051,4644,266,131,135,3536,3442,6,88,2784,782,1493,65,412,32,574
'1101054,"  삼청동",2010,2975,1429,1546,2889,1387,1502,86,42,44,1070,1048,3,19,830,740,0,14,45,31,6
'1101055,"  부암동",2010,10131,4935,5196,9974,4881,5093,157,54,103,3477,3424,8,45,2953,1065,117,980,760,31,105
'1101056,"  평창동",2010,18028,8519,9509,17625,8351,9274,403,168,235,5847,5758,16,73,5630,1596,911,2341,745,37,70
'1101057,"  무악동",2010,8016,3854,4162,7943,3826,4117,73,28,45,2730,2715,1,14,2681,155,2423,58,9,36,4
'1101058,"  교남동",2010,7943,3838,4105,7863,3805,4058,80,33,47,3203,3156,10,37,2223,870,112,33,1180,28,17
'1101060,"  가회동",2010,4961,2364,2597,4868,2323,2545,93,41,52,1889,1855,2,32,1588,842,0,86,652,8,8
'1101061,"  종로1·2·3·4가동",2010,6421,3624,2797,5900,3290,2610,521,334,187,3467,3086,28,353,1376,537,743,0,0,96,1039
'1101063,"  종로5·6가동",2010,4848,2493,2355,4666,2415,2251,182,78,104,2039,1928,1,110,918,760,0,0,19,139,127
'1101064,"  이화동",2010,9411,4440,4971,9082,4288,4794,329,152,177,3703,3518,5,180,2419,806,69,249,1246,49,61
'1101065,"  혜화동",2010,12773,6289,6484,12347,6094,6253,426,195,231,5064,4882,44,138,2918,934,820,361,744,59,43
'1101066,"  명륜3가동",2010,6643,3572,3071,6065,3315,2750,578,257,321,3363,3045,10,308,1169,887,34,13,222,13,12
