"code","name","name_eng","base_year","C행정구역별_읍면동","행정구역별_읍면동","시점","총인구_명","남자_명","여자_명","내국인_계_명","내국인_남자_명","내국인_여자_명","외국인_계_명","외국인_남자_명","외국인_여자_명","가구_계_가구","일반가구_가구","집단가구_가구","외국인가구_가구","주택_계_호","단독주택_호","아파트_호","연립주택_호","다세대주택_호","비거주용_건물내_주택_호","주택이외의_거처_호"
"39020","서귀포시","Seogwipo-si","2010","39020"," 서귀포시",2010,130713,64702,66011,129734,64165,65569,979,537,442,48114,47838,84,192,44375,29685,7691,3646,2645,708,543
"39010","제주시","Jeju-si","2010","39010"," 제주시",2010,401192,198542,202650,398677,197356,201321,2515,1186,1329,140251,139485,159,607,114701,50225,38548,7491,16157,2280,3695
"38400","합천군","Hapcheon-gun","2010","38400"," 합천군",2010,43639,19814,23825,43386,19735,23651,253,79,174,20255,20155,43,57,22208,19865,1417,494,163,269,161
"38390","거창군","Geochang-gun","2010","38390"," 거창군",2010,57323,27333,29990,57085,27256,29829,238,77,161,23534,23459,24,51,23673,16757,5677,668,295,276,141
"38380","함양군","Hamyang-gun","2010","38380"," 함양군",2010,38002,17728,20274,37729,17608,20121,273,120,153,16433,16351,29,53,17296,14135,2434,503,85,139,139
"38370","산청군","Sancheong-gun","2010","38370"," 산청군",2010,31898,14882,17016,31712,14802,16910,186,80,106,13512,13469,23,20,15009,13509,954,184,50,312,120
"38360","하동군","Hadong-gun","2010","38360"," 하동군",2010,41862,19623,22239,41668,19568,22100,194,55,139,18382,18345,14,23,19531,17263,1710,206,201,151,130
"38350","남해군","Namhae-gun","2010","38350"," 남해군",2010,43919,20312,23607,43599,20158,23441,320,154,166,19786,19694,26,66,21176,18739,1586,294,168,389,125
"38340","고성군","Goseong-gun","2010","38340"," 고성군",2010,51703,25831,25872,51026,25340,25686,677,491,186,21653,21437,62,154,22068,16707,4219,523,375,244,180
"38330","창녕군","Changnyeong-gun","2010","38330"," 창녕군",2010,55189,26148,29041,54580,25720,28860,609,428,181,24243,23983,40,220,25197,19470,3822,979,561,365,250
"38320","함안군","Haman-gun","2010","38320"," 함안군",2010,60794,30434,30360,59330,29250,30080,1464,1184,280,24214,23834,92,288,25195,15942,8497,335,132,289,241
"38310","의령군","Uiryeong-gun","2010","38310"," 의령군",2010,25602,11892,13710,25249,11652,13597,353,240,113,11819,11740,31,48,13129,11799,855,264,80,131,59
"38115","진해구","Jinhae-gu","2010","38115"," 진해구",2010,172238,89449,82789,170055,87782,82273,2183,1667,516,60697,60015,59,623,53179,15583,31544,4068,1536,448,316
"38114","마산회원구","Masanhoewon-gu","2010","38114"," 마산회원구",2010,218987,110439,108548,217183,109326,107857,1804,1113,691,78072,77304,63,705,61488,17141,39474,3155,1152,566,1049
"38113","마산합포구","Masanhappo-gu","2010","38113"," 마산합포구",2010,176725,87494,89231,175986,87132,88854,739,362,377,66437,66188,74,175,54982,22791,29158,1390,700,943,2742
"38112","성산구","Seongsan-gu","2010","38112"," 성산구",2010,247613,128643,118970,244365,126058,118307,3248,2585,663,83255,82022,123,1110,69742,5387,63721,360,14,260,3157
"38111","의창구","Uichang-gu","2010","38111"," 의창구",2010,242458,123933,118525,239899,122290,117609,2559,1643,916,87614,86579,66,969,59615,20937,35156,1208,1721,593,513
"38100","양산시","Yangsan-si","2010","38100"," 양산시",2010,252507,126503,126004,249529,124434,125095,2978,2069,909,88479,87494,186,799,83445,12854,66961,1175,1567,888,395
"38090","거제시","Geoje-si","2010","38090"," 거제시",2010,231271,125850,105421,225014,121140,103874,6257,4710,1547,82628,80074,241,2313,71102,19547,46777,2729,1203,846,1138
"38080","밀양시","Miryang-si","2010","38080"," 밀양시",2010,99128,47570,51558,98564,47272,51292,564,298,266,40437,40285,56,96,41637,26932,12498,1052,690,465,297
"38070","김해시","Gimhae-si","2010","38070"," 김해시",2010,494510,250799,243711,484244,242884,241360,10266,7915,2351,168404,165258,543,2603,146814,26523,106939,1414,10220,1718,2652
"38060","사천시","Sacheon-si","2010","38060"," 사천시",2010,107524,53890,53634,106175,52924,53251,1349,966,383,41913,41320,71,522,41341,20795,18270,1359,358,559,293
"38050","통영시","Tongyeong-si","2010","38050"," 통영시",2010,129366,65858,63508,127896,64908,62988,1470,950,520,50643,50155,64,424,45594,19562,23678,1199,596,559,549
