"V1","rpt.id","rpt.contents","info.tp","info.tit","occ.dtime","reg.dtime","end.dtime","start.pos.x","start.pos.y","end.pos.x","end.pos.y"
"1","01149328","서부간선도로 안양방면 (양평교 → 오목교) 차량증가로 정체,서행, 반대방면 (오목교 → 목동교) 차량증가로 정체,서행","A4","단순정보","2014-06-15","17:17","2014-06-15",126.890292,37.531127,126.890292,37.531127
"2","01149327","동부간선도로 성수대교방면 (노원교 → 녹천교) 차량증가로 정체, 반대방면 (한천교 → 창동교) 차량증가로 정체","A4","단순정보","2014-06-15","17:16","2014-06-15",127.055165,37.652209,127.055165,37.652209
"3","01149326","북부간선도로 종암분기점방면 (월릉램프 → 하월곡램프) 차량증가로 정체","A4","단순정보","2014-06-15","17:16","2014-06-15",127.068826,37.615331,127.068826,37.615331
"4","01149325","올림픽대로 공항방면 (성수대교 → 반포대교) 차량증가로 정체,서행, 반대방면 (성수대교 → 영동대교) 차량증가로 서행","A4","단순정보","2014-06-15","17:15","2014-06-15",127.015943,37.524102,127.015943,37.524102
"5","01149324","강변북로 (일산 → 구리) 성산대교 조금 못 간 지점에 있었던 승용차끼리 추돌사고 처리작업 완료, 정상소통, 반대방면 (한남대교 → 반포대교, 마포대교 → 양화대교) 차량증가로 정체,서행","A1","단순사고","2014-06-15","17:15","2014-06-15",126.891098,37.560033,0,0
"6","01149323","내부순환로 성수대교방면 (연희램프 → 홍지문터널) 차량증가로 정체","A4","단순정보","2014-06-15","17:14","2014-06-15",127.000146,37.608403,127.000146,37.608403
"8","01149321","서울-춘천간고속도로 서울방면 (강촌나들목부근 6Km구간, 가평휴게소 → 서종나들목) 차량증가로 정체","A4","단순정보","2014-06-15","17:13","2014-06-15",127.493865,37.66615,127.493865,37.66615
"9","01149320","천안-논산간고속도로 천안방면 (정우터널 → 정안휴게소, 차령터널 → 풍세요금소) 차량증가로 정체","A4","단순정보","2014-06-15","17:13","2014-06-15",127.104076,36.50312,127.104076,36.50312
"10","01149319","영동고속도로 강릉방면 (면온나들목 → 둔내터널, 여주나들목 → 이천나들목, 동수원나들목 → 광교터널) 차량증가로 정체","A4","단순정보","2014-06-15","17:12","2014-06-15",127.494914,37.245469,127.494914,37.245469
"11","01149318","중부고속도로 (남이 → 하남) 진천터널부근 2Km구간과 일죽나들목부근 1Km구간 차량증가로 정체","A4","단순정보","2014-06-15","17:11","2014-06-15",127.266279,37.449066,127.266279,37.449066
"12","01149317","서해안고속도로 서울방면 (당진나들목 → 서평택분기점, 금천나들목부근 2Km구간) 차량증가로 정체","A4","단순정보","2014-06-15","17:10","2014-06-15",126.895952,37.428197,126.895952,37.428197
"13","01149316","서울외곽순환고속도로 일산에서 판교방면 (계양나들목 → 중동나들목) 차량증가로 정체","A4","단순정보","2014-06-15","17:10","2014-06-15",126.75153,37.524394,126.75153,37.524394
"14","01149315","경부고속도로 서울방면 (청원휴게소부근 4Km구간, 입장휴게소 → 안성휴게소, 양재나들목 → 반포나들목) 차량증가로 정체, 반대방면 (한남나들목 → 서초나들목) 차량증가로 정체","A4","단순정보","2014-06-15","17:09","2014-06-15",127.025085,37.486203,127.025085,37.486203
